単語,品詞
アレキス,名詞-固有名詞-人名-一般
おどろい,動詞-一般
国王,名詞-普通名詞-一般
いいえ,感動詞-一般
信ずる,動詞-一般
このごろ,名詞-普通名詞-一般
臣下,名詞-普通名詞-一般
疑い,名詞-普通名詞-一般
少しく,副詞
派手,名詞-普通名詞-形状詞可能
差し出す,動詞-一般
命じ,動詞-一般
拒め,動詞-一般
十字,名詞-普通名詞-一般
架,接尾辞-名詞的-一般
呆れ,動詞-一般
生かし,動詞-一般
置け,動詞-非自立可能
単純,形状詞-一般
買い物,名詞-普通名詞-サ変可能
背負っ,動詞-一般
のそのそ,副詞
はいっ,動詞-一般
巡邏,名詞-普通名詞-サ変可能
警吏,名詞-普通名詞-一般
捕縛,名詞-普通名詞-サ変可能
調べ,動詞-一般
懐中,名詞-普通名詞-サ変可能
短剣,名詞-普通名詞-一般
騒ぎ,名詞-普通名詞-一般
短刀,名詞-普通名詞-一般
言え,動詞-一般
威厳,名詞-普通名詞-一般
以,動詞-一般
問いつめ,動詞-一般
蒼白,名詞-普通名詞-形状詞可能
眉間,名詞-普通名詞-一般
皺,名詞-普通名詞-一般
刻み込ま,動詞-一般
深かっ,形容詞-一般
悪びれ,動詞-一般
憫笑,名詞-普通名詞-サ変可能
仕方,名詞-普通名詞-一般
やつ,名詞-普通名詞-一般
孤独,名詞-普通名詞-形状詞可能
いきり立っ,動詞-一般
反駁,名詞-普通名詞-サ変可能
恥ず,動詞-一般
民,名詞-普通名詞-一般
忠誠,名詞-普通名詞-一般
正当,名詞-普通名詞-形状詞可能
心構え,名詞-普通名詞-一般
あて,名詞-普通名詞-一般
もともと,副詞
私慾,名詞-普通名詞-一般
かたまり,名詞-普通名詞-一般
落着い,動詞-一般
呟き,動詞-一般
望ん,動詞-一般
地位,名詞-普通名詞-一般
嘲笑,名詞-普通名詞-サ変可能
だまれ,動詞-一般
下賤,名詞-普通名詞-形状詞可能
さっ,副詞
清らか,形状詞-一般
言える,動詞-一般
腹,名詞-普通名詞-一般
綿,名詞-普通名詞-一般
奥底,名詞-普通名詞-一般
見え透い,動詞-一般
たって,助詞-接続助詞
聞か,動詞-一般
悧巧,形状詞-一般
自惚れ,動詞-一般
ちゃんと,副詞
る,助動詞
命乞い,名詞-普通名詞-一般
言いかけ,動詞-一般
視線,名詞-普通名詞-一般
落し,動詞-一般
瞬時,名詞-普通名詞-副詞可能
ためらい,名詞-普通名詞-一般
処刑,名詞-普通名詞-サ変可能
日限,名詞-普通名詞-一般
与え,動詞-一般
持た,動詞-一般
させ,助動詞
ばか,名詞-普通名詞-形状詞可能
低く,形容詞-一般
とんでも,副詞
逃がし,動詞-一般
小鳥,名詞-普通名詞-一般
言い張っ,動詞-一般
守り,動詞-一般
許し,動詞-一般
帰り,名詞-普通名詞-一般
よろしい,形容詞-一般
無二,名詞-普通名詞-一般
逃げ,動詞-一般
日暮,名詞-普通名詞-一般
絞め殺し,動詞-一般
たのむ,動詞-一般
残虐,名詞-普通名詞-形状詞可能
北叟笑ん,動詞-一般
生,接頭辞
意気,名詞-普通名詞-一般
どうせ,副詞
きまっ,動詞-一般
嘘つき,名詞-普通名詞-形状詞可能
騙さ,動詞-一般
振り,名詞-普通名詞-助数詞可能
放し,動詞-一般
面白い,形容詞-一般
気味,名詞-普通名詞-一般
悲しい,形容詞-一般
磔刑,名詞-普通名詞-一般
処し,動詞-一般
世の中,名詞-普通名詞-一般
正直,副詞
奴輩,名詞-普通名詞-一般
うんと,感動詞-フィラー
見せつけ,動詞-一般
呼ぶ,動詞-一般
なに,代名詞
おっしゃる,動詞-一般
はは,感動詞-一般
わかっ,動詞-一般
口惜しく,形容詞-一般
地団駄,名詞-普通名詞-一般
踏ん,動詞-一般
たく,助動詞
深夜,名詞-普通名詞-副詞可能
召さ,動詞-一般
面前,名詞-普通名詞-一般
ぶり,接尾辞-名詞的-一般
相,接頭辞
逢う,動詞-一般
一切,名詞-普通名詞-副詞可能
語っ,動詞-一般
無言,名詞-普通名詞-一般
抱きしめ,動詞-一般
よかっ,形容詞-非自立可能
初夏,名詞-普通名詞-一般
満天,名詞-普通名詞-一般
星,名詞-普通名詞-一般
一睡,名詞-普通名詞-サ変可能
急ぎ,動詞-一般
午前,名詞-普通名詞-副詞可能
仕事,名詞-普通名詞-サ変可能
代り,名詞-普通名詞-一般
羊群,名詞-普通名詞-一般
番,名詞-普通名詞-助数詞可能
よろめい,動詞-一般
困憊,名詞-普通名詞-サ変可能
