、,補助記号-読点-*-*-*-*
夕陽,名詞-普通名詞-一般-*-*-*
走り,動詞-一般-*-*-五段-ラ行-連用形-一般
フィロストラトス,名詞-固有名詞-人名-一般-*-*
叫ん,動詞-一般-*-*-五段-バ行-連用形-撥音便
大きい,形容詞-一般-*-*-形容詞-連体形-一般
見つめ,動詞-一般-*-*-下一段-マ行-連用形-一般
間に合わ,動詞-一般-*-*-五段-ワア行-未然形-一般
つい,動詞-非自立可能-*-*-五段-カ行-連用形-イ音便
走る,動詞-一般-*-*-五段-ラ行-終止形-一般
釣り上げ,動詞-一般-*-*-下一段-ガ行-未然形-一般
一度,名詞-普通名詞-副詞可能-*-*-*
抱擁,名詞-普通名詞-サ変可能-*-*-*
仲間,名詞-普通名詞-一般-*-*-*
万歳,名詞-普通名詞-サ変可能-*-*-*
マント,名詞-普通名詞-一般-*-*-*
かの,連体詞-*-*-*-*-*
暴虐,名詞-普通名詞-形状詞可能-*-*-*
除か,動詞-一般-*-*-五段-カ行-未然形-一般
政治,名詞-普通名詞-一般-*-*-*
笛,名詞-普通名詞-一般-*-*-*
吹き,動詞-一般-*-*-五段-カ行-連用形-一般
遊ん,動詞-一般-*-*-五段-バ行-連用形-撥音便
邪悪,名詞-普通名詞-形状詞可能-*-*-*
対し,動詞-一般-*-*-サ行変格-連用形-一般
敏感,名詞-普通名詞-形状詞可能-*-*-*
未明,名詞-普通名詞-副詞可能-*-*-*
越え,動詞-一般-*-*-下一段-ア行-連用形-一般
山越え,名詞-普通名詞-一般-*-*-*
なれ,動詞-非自立可能-*-*-下一段-ラ行-連用形-一般
父,名詞-普通名詞-一般-*-*-*
母,名詞-普通名詞-一般-*-*-*
女房,名詞-普通名詞-一般-*-*-*
内気,名詞-普通名詞-形状詞可能-*-*-*
或る,連体詞-*-*-*-*-*
律気,名詞-普通名詞-形状詞可能-*-*-*
近々,名詞-普通名詞-副詞可能-*-*-*
迎える,動詞-一般-*-*-下一段-ア行-連体形-一般
間近,形状詞-一般-*-*-*-*
ゆえ,名詞-普通名詞-副詞可能-*-*-*
御馳走,名詞-普通名詞-サ変可能-*-*-*
買い,動詞-一般-*-*-五段-ワア行-連用形-一般
はるばる,副詞-*-*-*-*-*
先ず,副詞-*-*-*-*-*
品々,名詞-普通名詞-一般-*-*-*
買い集め,動詞-一般-*-*-下一段-マ行-連用形-一般
都,名詞-普通名詞-一般-*-*-*
大路,名詞-普通名詞-一般-*-*-*
此,代名詞-*-*-*-*-*
久しく,形容詞-一般-*-*-形容詞-連用形-一般
逢わ,動詞-一般-*-*-五段-ワア行-未然形-一般
楽しみ,名詞-普通名詞-一般-*-*-*
怪しく,形容詞-一般-*-*-形容詞-連用形-一般
ひっそり,副詞-*-*-*-*-*
当りまえ,形状詞-一般-*-*-*-*
せい,名詞-普通名詞-一般-*-*-*
